Name,Team,xBA,xSLG,xwOBA,Barrel%,HardHit%,Max EV,xwOBA_vs_R,xwOBA_vs_L,Batting_Order,PA_L14,xwOBA_L14,Hit_Prob_Score,HR_Prob_Score
Corbin Carroll,AZ,0.285,0.553,0.387,9.2,45.8,109.6,0.379,0.368,6,54,0.311,71.0,59.8
Gabriel Moreno,AZ,0.265,0.437,0.36,7.7,38.6,108.8,0.353,0.342,6,48,0.411,71.0,48.9
Geraldo Perdomo,AZ,0.245,0.355,0.357,6.9,34.4,108.5,0.35,0.339,6,50,0.362,67.6,41.9
Ildemaro Vargas,AZ,0.276,0.435,0.323,7.3,36.6,108.7,0.317,0.307,6,32,0.234,55.3,47.4
Ketel Marte,AZ,0.252,0.451,0.312,7.4,36.9,108.7,0.306,0.296,6,53,0.185,61.0,48.4
LuJames Groover,AZ,0.232,0.237,0.307,5.2,25.9,107.6,0.301,0.292,6,24,0.307,50.6,30.0
Nolan Arenado,AZ,0.253,0.426,0.343,7.4,37.2,108.7,0.336,0.326,6,48,0.223,60.5,47.3
Pavin Smith,AZ,0.125,0.13,0.296,4.0,20.0,107.0,0.29,0.281,6,24,0.265,37.8,20.5
Ryan Waldschmidt,AZ,0.264,0.362,0.331,6.7,33.4,108.3,0.324,0.314,6,43,0.271,61.5,41.5
Tommy Troy,AZ,0.245,0.35,0.36,6.9,34.2,108.5,0.353,0.342,6,39,0.323,60.2,41.5
Adley Rutschman,BAL,0.275,0.502,0.364,8.4,42.0,109.2,0.357,0.346,6,44,0.424,70.7,54.5
Blaze Alexander,BAL,0.29,0.413,0.357,7.4,37.2,108.7,0.35,0.339,6,28,0.496,67.8,46.6
Coby Mayo,BAL,0.197,0.389,0.273,6.4,31.9,108.2,0.268,0.259,6,41,0.235,52.0,41.8
Colton Cowser,BAL,0.229,0.402,0.33,7.1,35.3,108.5,0.323,0.314,6,46,0.385,65.2,44.9
Gunnar Henderson,BAL,0.231,0.431,0.308,7.1,35.7,108.5,0.302,0.293,6,60,0.415,73.8,46.5
Jackson Holliday,BAL,0.22,0.41,0.318,7.0,35.1,108.5,0.312,0.302,6,45,0.304,59.7,45.0
Leody Taveras,BAL,0.263,0.375,0.36,7.1,35.5,108.5,0.353,0.342,6,44,0.235,60.0,43.6
Pete Alonso,BAL,0.25,0.467,0.344,7.9,39.3,109.0,0.337,0.327,6,58,0.412,74.6,50.9
Samuel Basallo,BAL,0.262,0.486,0.334,8.0,39.8,109.0,0.327,0.317,6,38,0.304,60.4,52.2
Taylor Ward,BAL,0.268,0.371,0.425,7.7,38.5,108.8,0.416,0.404,6,62,0.467,81.2,45.5
Tyler O'Neill,BAL,0.193,0.284,0.301,5.6,28.0,107.8,0.295,0.286,6,24,0.39,50.8,33.8
Caleb Durbin,BOS,0.206,0.335,0.274,5.8,29.2,107.9,0.269,0.26,6,42,0.325,57.8,37.1
Ceddanne Rafaela,BOS,0.292,0.467,0.359,8.0,40.0,109.0,0.352,0.341,6,44,0.379,70.2,51.4
Connor Wong,BOS,0.262,0.375,0.36,7.1,35.5,108.5,0.353,0.342,6,19,0.436,57.5,43.6
Isiah Kiner-Falefa,BOS,0.27,0.343,0.345,6.6,33.1,108.3,0.338,0.328,6,40,0.24,59.0,40.3
Jarren Duran,BOS,0.214,0.389,0.283,6.5,32.4,108.2,0.277,0.269,6,49,0.239,57.8,42.1
Marcelo Mayer,BOS,0.225,0.322,0.296,5.9,29.6,108.0,0.29,0.281,6,26,0.284,49.7,36.8
Masataka Yoshida,BOS,0.243,0.333,0.344,6.5,32.6,108.2,0.337,0.327,6,27,0.274,51.5,39.5
